#,Keyword,Country,Difficulty,Volume,CPC,Clicks,CPS,Return Rate,Parent Keyword,Last Update,SERP Features,Global volume
1,community,us,80,287000,3,91772,0.32,1.24,community,2020-10-17 02:35:23,"Sitelinks,People also ask",863000
2,calculus,us,61,116000,1.1,39446,0.34,1.2,calculus,2020-10-18 10:38:11,"Knowledge card,People also ask,Sitelinks",319000
3,"""",us,45,96000,,14334,0.15,1.29,"""",2020-10-18 08:21:50,"Sitelinks,People also ask,Image pack",310000
4,riverside,us,83,77000,2.5,19305,0.25,1.24,city of riverside,2020-10-17 12:43:46,"Sitelinks,People also ask",189000
5,raleigh,us,87,76000,1.3,20629,0.27,1.26,raleigh nc,2020-10-18 19:13:14,"Sitelinks,People also ask,Image pack",171000
6,concord,us,69,64000,5,16728,0.26,1.17,concord university,2020-10-17 13:13:16,Sitelinks,211000
7,promotion,us,64,30000,2.5,6551,0.22,1.13,promotion,2020-10-18 22:41:31,"Knowledge card,People also ask,Sitelinks,Image pack",217000
8,000,us,12,19000,2.5,6485,0.34,1.46,000,2020-10-18 19:11:54,"Sitelinks,People also ask",205000
9,asheboro,us,56,5100,0.8,1163,0.23,1.18,city of asheboro,2020-10-17 07:06:12,"Sitelinks,People also ask,Image pack",5300
10,davie,us,64,4700,0.15,1308,0.28,1.13,town of davie,2020-10-17 15:16:11,"Sitelinks,People also ask",9900
11,asian american news,us,16,3700,0.9,4968,1.35,5,asian american news,2020-10-19 06:40:38,"Top stories,Thumbnails,Sitelinks",3700
12,barrister global services,us,1,3700,1.3,3452,0.93,2.08,barrister global services,2020-10-18 13:14:21,Sitelinks,3700
13,lalafell names,us,2,3400,0,4630,1.36,1.28,lalafell name generator,2020-10-17 09:54:21,,3800
14,telegraph uk news,us,75,3200,1.1,4479,1.38,11.32,telegraph uk news,2020-10-17 14:17:08,"Sitelinks,People also ask,Tweet box",4200
15,the haves and the have nots season 5 episode 29,us,0,2800,,1755,0.62,1.56,the haves and the have nots season 5 episode 29,2020-10-18 02:07:06,Adwords top,2900
16,ffxiv dancer quests,us,4,2300,,2569,1.14,1.25,ffxiv dancer quests,2020-10-16 06:27:53,"Sitelinks,Top stories,Thumbnails,Image pack",2300
17,web mail aruba,us,27,2200,0,,,,web mail aruba,2020-10-16 17:58:15,,281000
18,beyond tomorrow comics,us,1,2000,0,,,,beyond tomorrow comics,2020-10-17 08:00:44,Image pack,2000
19,bdo tamer guide,us,2,2000,0,2647,1.32,1.58,bdo tamer guide,2020-10-12 23:57:25,"Featured snippet,Thumbnails,People also ask,Image pack",3000
20,dc universe online wiki,us,4,2000,2.5,2107,1.04,1.42,dcuo wiki,2020-10-14 02:29:53,"Sitelinks,People also ask",3000
21,trashcan carla,us,0,1900,0,1954,1.02,1.08,trashcan carla,2020-10-13 05:18:27,People also ask,2400
22,bdo gear guide,us,9,1900,0,1851,0.97,1.35,bdo gear guide,2020-10-13 15:16:33,"Top stories,Thumbnails,Image pack",2900
23,skydock iv edz,us,0,1800,,1358,0.77,1.22,skydock iv,2020-10-13 08:45:31,"People also ask,Image pack",2300
24,young lo,us,0,1800,0,1011,0.56,1.1,young lo,2020-10-14 14:11:59,"Top stories,Thumbnails,Image pack",2000
25,the shape of water trailer,us,37,1800,,1513,0.82,1.12,shape of water trailer,2020-10-13 11:06:46,People also ask,6100
26,temperature in jonesboro arkansas,us,1,1700,0,,,,jonesboro weather,2020-10-16 01:15:18,"Knowledge card,People also ask",1700
27,naga siren,us,2,1600,0,1307,0.84,1.3,naga siren,2020-10-14 04:33:35,"Sitelinks,People also ask",6400
28,lemon rx,us,0,1600,0.3,1478,0.95,1.76,lemon rx,2020-10-17 12:52:23,"Sitelinks,Image pack",2200
29,uniting the isles,us,5,1600,0,1570,1.01,1.12,uniting the isles,2020-10-12 19:42:35,People also ask,2200
30,do you like my car,us,0,1500,0,1371,0.89,1.15,gas gas gas lyrics,2020-10-16 14:23:23,Image pack,3300
31,house party custom stories,us,0,1500,,1834,1.23,1.78,house party mods,2020-10-19 12:52:14,Sitelinks,2000
32,youcam mirage,us,0,1500,0,1280,0.84,1.09,youcam mirage,2020-10-16 19:12:19,"People also ask,Sitelinks",3000
33,awn432sp113tw04,us,0,1500,0.9,1577,1.04,1.39,awn432sp113tw04,2020-10-18 17:35:30,Image pack,1500
34,hacienda healthcare baby,us,3,1500,,1521,1.02,1.39,hacienda healthcare baby,2020-10-14 13:51:02,"Sitelinks,Top stories,Thumbnails,Image pack",1500
35,galaxy s8 factory reset,us,12,1500,,959,0.65,1.18,factory reset galaxy s8,2020-10-16 07:27:04,"Featured snippet,Thumbnails,Top stories",1900
36,so cal hoops,us,2,1500,0,,,,socalhoops,2020-10-12 03:10:03,"Sitelinks,Image pack",1500
37,wellesley banner,us,0,1400,3,1530,1.06,4.67,wellesley banner,2020-10-17 05:21:48,"Sitelinks,Image pack",1500
38,siren stormtamer,us,0,1400,,947,0.67,1.19,mtg siren stormtamer,2020-10-17 07:27:17,,2600
39,how to fix corrupted files windows 10,us,24,1400,0,938,0.65,1.16,sfc scannow,2020-10-17 08:32:01,Featured snippet,1900
40,the guru movie,us,27,1400,0,536,0.38,1.18,the guru,2020-10-14 19:03:01,"Sitelinks,Top stories,Thumbnails,People also ask",1700
41,yucca mountain nuclear waste,us,16,1300,0.4,910,0.72,1.27,yucca mountain,2020-10-17 05:32:56,"Sitelinks,People also ask,Image pack",1300
42,phonerescue reviews,us,12,1300,2.5,1472,1.1,1.16,phonerescue reviews,2020-10-17 03:19:30,"Adwords top,People also ask,Sitelinks",1400
43,trms directory,us,0,1300,0,1549,1.15,5.14,trms directory,2020-10-17 03:44:30,"Sitelinks,Image pack",1300
44,glenn beck cruise,us,4,1300,,1234,0.94,1.38,glenn beck cruise,2020-10-14 19:24:52,,1300
45,osprey1card,us,3,1200,0,1232,1.05,2.35,osprey1card,2020-10-13 01:34:52,Image pack,1200
46,yesterdays new quintet,us,3,1200,0.3,757,0.64,1.43,yesterdays new quintet,2020-10-12 20:30:00,"Top stories,Thumbnails",1600
47,military book club,us,1,1200,0.7,1272,1.06,2.37,military book club,2020-10-17 14:08:44,Sitelinks,1300
48,company tabard ffxiv,us,1,1200,0,1374,1.13,1.25,company tabard ffxiv,2020-10-15 14:17:35,,1200
49,wayang spellhunter,us,3,1200,0,1571,1.31,1.28,wayang spellhunter,2020-10-12 19:36:22,Image pack,1300
50,wd40 as engine oil,us,2,1200,,895,0.77,1.18,replace engine oil with wd40,2020-10-19 12:47:18,People also ask,1500
51,temporary image hosting,us,76,1200,11,1633,1.38,1.35,postimage,2020-10-16 06:48:34,Sitelinks,1900
52,trim castle ireland,us,34,1200,2,739,0.6,1.17,trim castle,2020-10-17 13:01:37,"Sitelinks,People also ask,Image pack",1800
53,fictional finalism,us,0,1100,0,554,0.51,1.2,fictional finalism,2020-10-15 23:51:58,"Featured snippet,People also ask,Image pack",1300
54,craig mums grant,us,0,1100,0,454,0.4,1.06,craig mums grant,2020-10-13 03:41:26,"Top stories,Thumbnails",1200
55,star wars despecialized 2.7 mkv,us,0,1100,,1562,1.46,1.37,star wars despecialized 2.7 mkv,2020-10-18 15:53:56,Image pack,1100
56,organization xiii coat,us,2,1100,0.1,1123,0.99,1.34,organization 13 coat,2020-10-16 18:45:19,"Image pack,Sitelinks,Top stories,Thumbnails",1500
57,illinois state archives,us,11,1100,0.3,1271,1.12,1.53,illinois state archives,2020-10-13 07:24:52,"Sitelinks,Top stories,Thumbnails",1200
58,kingroot apk latest version,us,57,1100,0.07,973,0.87,1.46,kingroot,2020-10-13 04:53:58,People also ask,2400
59,big and chunky song,us,10,1100,0,567,0.53,1.23,big and chunky,2020-10-16 15:39:14,Thumbnails,1100
60,happy death day streaming,us,2,1100,,1292,1.16,1.28,watch happy death day,2020-10-14 07:32:15,People also ask,2100
61,cestra warframe,us,0,1100,0,1157,1.05,1.09,warframe cestra,2020-10-17 14:31:28,"Sitelinks,People also ask,Image pack",1800
62,import minecraft account,us,7,1000,0,1050,1.09,1.08,how to migrate minecraft account,2020-10-18 07:01:02,"Featured snippet,People also ask,Image pack",1300
63,social hobbies,us,15,1000,0,1318,1.27,1.52,social hobbies,2020-10-16 06:17:37,"Sitelinks,People also ask,Image pack",1400
64,razer kraken chroma,us,3,1000,0.45,651,0.65,1.13,razer kraken 7.1 v2,2020-10-13 02:00:19,"People also ask,Top stories,Thumbnails,Image pack",3900
65,ipower mail,us,35,1000,0,1106,1.1,5.39,ipower mail,2020-10-17 14:15:37,,1600
66,great cleave pathfinder,us,5,1000,0,985,1.03,1.2,great cleave pathfinder,2020-10-13 09:44:48,Image pack,1000
67,adamec,us,10,1000,0.7,883,0.9,3.03,adamec,2020-10-16 10:32:29,Sitelinks,2000
68,justfreevpn,us,9,1000,4,1014,1,1.33,justfreevpn,2020-10-17 09:21:18,Sitelinks,12000
69,roll d20 online,us,69,1000,0,985,0.98,1.28,roll20,2020-10-13 07:28:50,"Top stories,Thumbnails",1200
70,roblox beyond codes,us,14,1000,,1132,1.18,1.46,naruto beyond codes,2020-10-15 13:00:48,"Featured snippet,Thumbnails,Top stories,Image pack",1400
71,games releasing in september 2019,us,19,1000,,985,1.03,1.03,september 2019 game releases,2020-10-11 10:50:54,"Featured snippet,People also ask,Top stories,Thumbnails",1000
72,njpw ppv,us,4,1000,1.3,1005,1,1.41,njpw ppv,2020-10-15 14:51:43,"Sitelinks,Image pack",1900
73,arnheim,us,9,900,0,283,0.33,1.14,rudolf arnheim,2020-10-13 05:17:40,"Knowledge card,Thumbnails,People also ask,Image pack",16000
74,feh duma,us,0,900,,864,1,1.28,duma feh,2020-10-18 03:58:31,"Sitelinks,Image pack",1000
75,rainn wilson star trek,us,3,900,,539,0.59,1.14,rainn wilson star trek,2020-10-14 02:12:35,"Top stories,Thumbnails",1300
76,hactool,us,2,900,,1117,1.23,1.48,hactool,2020-10-16 19:02:56,"Sitelinks,Image pack",1600
77,love nikki miraland quiz,us,0,900,,607,0.65,1.48,love nikki miraland quiz,2020-10-12 15:42:13,"Top stories,Thumbnails,Image pack",1500
78,improvements catalog going out of business,us,34,900,,788,0.9,1.03,improvements catalog,2020-10-17 01:47:48,Adwords bottom,900
79,royal waterways,us,0,900,,702,0.78,1.08,hollow knight royal waterways,2020-10-14 18:17:15,"Featured snippet,People also ask",1200
80,voiceforge not working,us,3,900,,1298,1.43,1.11,voiceforge demo not working,2020-10-13 11:27:26,,1000
81,university village cpp,us,1,900,0,833,0.97,2.21,university village cpp,2020-10-17 08:53:50,"Sitelinks,Image pack",900
82,xci to nsp converter,us,0,900,,1218,1.39,1.46,convert xci to nsp,2020-10-13 21:24:01,"Top stories,Thumbnails,People also ask,Image pack",1200
83,mayim bialik what not to wear,us,1,900,0,392,0.43,1.13,mayim bialik what not to wear,2020-10-18 20:07:22,Image pack,1300
84,ozark trail hatchet,us,0,900,,576,0.67,1.57,ozark trail hatchet,2020-10-18 18:19:47,Image pack,900
85,craftsman mower parts diagram,us,6,800,0.6,575,0.75,1.24,craftsman mower parts diagram,2020-10-14 13:15:56,"Image pack,Adwords bottom",800
86,all might mii,us,0,800,,548,0.66,1.38,all might mii,2020-10-17 03:04:14,"Image pack,People also ask",900
87,british expeditionary force,us,14,800,0,554,0.66,1.1,british expeditionary force,2020-10-18 10:56:10,"Sitelinks,People also ask",2800
88,keepsolid login,us,60,800,0,940,1.16,1.11,keepsolid,2020-10-18 13:50:36,Sitelinks,1100
89,kef ls50 wireless review,us,8,800,,1095,1.33,3.28,kef powered speakers,2020-10-14 00:19:22,"Top stories,Thumbnails,People also ask",1500
90,re:zero english dub,us,9,800,,977,1.21,1.25,re zero dub,2020-10-13 15:12:40,"People also ask,Image pack",1100
91,centurion laboratories,us,2,800,0.15,1022,1.24,1.16,centurion laboratories,2020-10-12 16:12:44,,2600
92,redbad movie,us,13,800,,436,0.52,1.31,redbad,2020-10-13 17:53:40,People also ask,1500
93,best laptops 2018 under 500,us,46,800,,895,1.16,1.29,best laptops 2018 under 500,2020-10-17 01:05:40,"Sitelinks,People also ask",1100
94,monster prom dlc,us,6,800,,837,1.01,1.09,monster prom second term,2020-10-17 07:13:41,"People also ask,Image pack",900
95,metropark station apartments,us,0,800,,584,0.72,1.9,metropark station apartments,2020-10-18 06:24:30,"Sitelinks,Image pack",800
96,waikiki parc hotel,us,10,800,2.5,661,0.88,1.35,waikiki parc hotel,2020-10-11 21:41:21,"Top stories,Thumbnails",1400
97,pali schoology,us,2,800,0,863,1.03,3.59,schoology pali,2020-10-14 06:01:30,"Top stories,Thumbnails",900
98,centerline solutions,us,1,800,0.04,663,0.87,1.28,centerline solutions,2020-10-16 17:52:36,"Sitelinks,Image pack",800
99,view image extension,us,15,800,,127,0.15,1.06,view image,2020-10-16 23:56:00,Image pack,3300
100,fusion tier list,us,0,800,,823,1,1.42,fusion tier list,2020-10-16 09:18:40,Image pack,900
101,falador elite diary,us,1,800,0,778,1,1.25,falador diary,2020-10-17 17:07:43,"Sitelinks,Image pack",1000
102,marksman definition,us,16,700,0,51,0.07,1.09,marksman,2020-10-14 23:24:26,"Knowledge card,People also ask,Sitelinks",900
103,tv episode guide,us,80,700,0,798,1.14,2.88,epguides,2020-10-17 12:32:24,"Adwords top,Sitelinks",1100
104,car tires online,us,79,700,4.5,1029,1.55,1.34,tire rack,2020-10-11 23:19:28,"Adwords top,People also ask",800
105,how to fill in illustrator,us,1,700,0.05,504,0.77,1.15,how to fill in illustrator,2020-10-17 01:37:28,"Sitelinks,People also ask,Image pack",1200
106,barnos talon,us,0,700,,780,1.08,1.13,barnos talon,2020-10-13 07:11:09,People also ask,1100
107,secretome,us,3,700,0,282,0.43,1.21,secretome,2020-10-12 01:04:56,"Featured snippet,Thumbnails",1700
108,things to do in silicon valley,us,5,700,2,708,0.95,1.21,things to do in silicon valley,2020-10-14 11:02:07,"People also ask,Top stories,Thumbnails",800
109,zr13 obd2 code reader,us,16,700,,714,0.96,1.41,zurich zr13,2020-10-18 23:07:16,"People also ask,Image pack",700
110,xt1789-04,us,0,700,,321,0.44,1.3,xt1789-04,2020-10-16 20:12:01,Image pack,800
111,eve abyssal,us,4,700,,774,1.11,1.81,eve abyssal guide,2020-10-14 21:32:26,"Sitelinks,Top stories,Thumbnails,Image pack",800
112,instant pot marinara sauce,us,7,700,0,1029,1.41,1.34,instant pot marinara,2020-10-12 22:44:26,"Top stories,Thumbnails",800
113,minecraft 1.14 plugins,us,20,700,,821,1.11,1.43,bukkit plugins,2020-10-14 01:24:05,Image pack,1100
114,animal testing debate,us,43,600,2.5,702,1.14,1.28,animal testing pros and cons,2020-10-13 22:40:04,"Adwords top,People also ask,Top stories,Thumbnails",1600
115,bishop sullivan catholic high school,us,1,600,1.8,391,0.69,1.43,catholic high school,2020-10-17 10:34:51,"Sitelinks,Image pack",600
116,martin logan dynamo 700,us,1,600,0.7,545,0.99,1.35,martin logan dynamo 700,2020-10-14 07:44:37,"Top stories,Thumbnails,Image pack,Adwords bottom",600
117,google scholar ut,us,4,600,0,408,0.72,1.48,google scholar ut,2020-10-18 18:05:16,"Sitelinks,Image pack",600
118,vintage 61,us,1,600,,254,0.46,1.44,vintage 61,2020-10-13 22:38:17,"Top stories,Thumbnails,Image pack",600
119,whole roasted cauliflower parmesan,us,12,600,0,665,1.03,1.22,roasted cauliflower head,2020-10-17 08:16:24,"Top stories,Thumbnails",800
120,how long did it take to build the berlin wall,us,53,600,0,296,0.47,1.11,why was the berlin wall built,2020-10-14 06:56:21,"Featured snippet,People also ask,Top stories,Thumbnails",900
121,i'm looking over a four leaf clover,us,3,600,,348,0.55,1.13,i'm looking over a four leaf clover,2020-10-15 13:53:06,"Thumbnails,People also ask",900
122,logan lerman gif,us,0,600,0,501,0.79,2.55,logan lerman gif,2020-10-14 17:47:11,Image pack,1600
123,copper brownie pan,us,2,600,,649,1.08,1.15,copper brownie pan,2020-10-13 16:52:13,"People also ask,Top stories,Thumbnails,Image pack",600
124,individual agency,us,23,600,0,168,0.28,1.31,agency,2020-10-15 21:00:37,"Sitelinks,People also ask,Top stories,Thumbnails",900
125,secret hitler print and play,us,1,600,0,619,1.06,1.38,secret hitler print and play,2020-10-18 14:26:28,Image pack,1200
126,hy vee aisles login,us,41,600,6,620,1,1.31,hyvee aisles,2020-10-18 19:28:21,"Sitelinks,People also ask",600
127,cubase pro 9,us,4,600,0.8,427,0.76,1.12,cubase 9,2020-10-16 21:52:06,"People also ask,Image pack",4400
