#,Keyword,Country,Difficulty,Volume,CPC,Clicks,CPS,Return Rate,Parent Keyword,Last Update,SERP Features,Global volume
1,texas,us,96,557000,1.3,205908,0.37,1.32,texas,2020-10-20 06:29:32,"Sitelinks,People also ask,Image pack,Thumbnails",1170000
2,new york,us,97,522000,1.6,151255,0.29,1.28,new york city,2020-10-19 05:24:39,"Top stories,Thumbnails,Sitelinks,People also ask,Image pack",2270000
3,bass,us,73,133000,0.5,46504,0.35,1.18,bassmaster,2020-10-20 03:14:17,"Sitelinks,People also ask,Adwords bottom",375000
4,"""",us,46,96000,,14334,0.15,1.29,"""",2020-10-20 17:22:47,"Sitelinks,People also ask,Image pack",310000
5,calabasas,us,57,70000,1.3,18838,0.27,1.16,calabasas california,2020-10-19 05:37:27,"Sitelinks,People also ask,Image pack",127000
6,broke,us,32,22000,,4400,0.2,1.12,broke tv show,2020-10-18 22:22:20,"Knowledge card,People also ask,Sitelinks",66000
7,windows defender vs avast,us,37,9000,0.45,11405,1.27,1.13,windows defender vs avast,2020-10-19 02:43:12,"Featured snippet,People also ask,Adwords bottom",18000
8,paducah,us,59,8700,0.6,2272,0.26,1.21,paducah ky,2020-10-19 19:39:44,"Sitelinks,People also ask,Image pack",9900
9,final fantasy 14 main quest,us,31,7100,15,6730,0.95,3.25,ffxiv msq,2020-10-19 15:42:34,"Sitelinks,People also ask",7600
10,ql,us,7,5700,0.7,2617,0.46,1.34,quadratus lumborum pain,2020-10-20 07:20:32,"Featured snippet,People also ask,Sitelinks",26000
11,pdf d&d 5e dungeon master's guide pdf,us,3,5400,,6707,1.25,1.12,dungeon master's guide 5e pdf,2020-10-19 14:37:28,,5600
12,government shutdown 2013,us,59,5100,3,3685,0.72,1.1,government shutdown 2013,2020-10-19 21:37:43,Featured snippet,5400
13,mid atlantic sports network,us,0,4400,0.3,4230,0.97,7.11,masn,2020-10-20 06:34:31,"Sitelinks,People also ask",4400
14,amazon ny,us,33,4100,0.5,5332,1.29,1.48,amazon jobs nyc,2020-10-19 01:26:40,People also ask,4400
15,faster melee,us,2,4000,0,4996,1.26,1.3,faster melee,2020-10-20 04:13:05,,4800
16,subnautica water,us,0,4000,0,4225,1.06,1.24,subnautica water,2020-10-20 06:15:18,"People also ask,Image pack,Top stories,Thumbnails",6700
17,red 2010 cast,us,33,3900,0,231,0.06,1.21,red\',2020-10-19 23:44:56,"Sitelinks,People also ask",7100
18,ai girl illusion,us,3,3900,,4549,1.17,1.46,ai shoujo,2020-10-20 11:08:13,Sitelinks,4800
19,path of exile shadow build,us,3,3800,0,4738,1.25,1.37,path of exile shadow build,2020-10-19 01:52:19,Sitelinks,6700
20,prilx,us,0,3700,,3414,0.93,9.43,prilx,2020-10-19 19:31:34,Knowledge card,3900
21,voice realm,us,4,3700,6,3773,1.03,4.91,voice realm,2020-10-18 19:13:07,"Sitelinks,People also ask",4300
22,game design document template,us,9,3700,6,4007,1.07,1.41,game design document template,2020-10-20 10:17:00,Image pack,5900
23,giant dwarf osrs,us,0,3600,0,3890,1.08,1.2,the giant dwarf osrs,2020-10-19 10:10:42,"Sitelinks,Image pack",4500
24,fcbfx,us,4,3600,0,1073,0.3,3.22,fcbfx,2020-10-19 21:20:27,"Knowledge card,Image pack",3600
25,flock of familiars 5e,us,0,3600,,3945,1.09,1.19,flock of familiars,2020-10-19 06:16:22,"People also ask,Image pack",4600
26,tv globo ao vivo,us,25,3600,1.3,5326,1.49,2.72,tv globo ao vivo,2020-10-20 04:51:23,Image pack,126000
27,outcast season 3,us,13,3500,0.5,3763,1.09,1.3,outcast season 3,2020-10-18 19:52:34,"People also ask,Sitelinks",7900
28,lame mp3 encoder,us,81,3500,0.8,4608,1.31,1.08,lame mp3 encoder,2020-10-20 13:34:13,"Sitelinks,People also ask",9100
29,one of us movie,us,42,3300,0.6,2040,0.62,1.14,one of us movie,2020-10-19 15:53:56,"Top stories,Thumbnails,Sitelinks,People also ask",4400
30,tenor sax range,us,1,3100,0.9,1283,0.41,1.56,tenor saxophone,2020-10-19 03:00:43,"Featured snippet,Thumbnails,Sitelinks,People also ask",3600
31,samsung galaxy j7 crown review,us,10,3000,,3001,0.99,1.35,samsung galaxy j7 crown,2020-10-19 19:45:36,"People also ask,Sitelinks",3000
32,icd 10 code for hyperuricemia,us,0,3000,0,183,0.06,5.38,icd 10 code for elevated uric acid,2020-10-20 15:25:23,Featured snippet,3100
33,call of pripyat,us,48,2900,0.4,1288,0.45,1.15,stalker call of pripyat,2020-10-19 12:19:58,Sitelinks,10000
34,wow classic best in slot,us,12,2900,,3997,1.4,1.68,wow classic bis,2020-10-20 02:59:36,"Sitelinks,Image pack",3100
35,what am i fighting for,us,0,2900,0,2254,0.79,1.2,what am i fighting for,2020-10-20 07:43:26,Thumbnails,5400
36,jayce aram build,us,0,2700,0,2808,1.05,1.44,jayce aram,2020-10-18 05:44:19,"Sitelinks,Image pack",3700
37,westing game pdf,us,0,2700,0,3086,1.14,2.19,westing game pdf,2020-10-20 01:33:18,,2700
38,unf parking,us,0,2700,0,2970,1.12,1.82,unf parking,2020-10-19 21:38:14,"Sitelinks,People also ask",2700
39,headliner game,us,20,2700,,2096,0.79,1.14,headliner game,2020-10-20 13:27:48,,3300
40,2019 jeep grand cherokee configurations,us,3,2700,,802,0.3,1.14,2019 jeep grand cherokee configurations,2020-10-20 17:49:04,"People also ask,Adwords bottom",2700
41,sims 4 no mosaic,us,7,2700,0,3076,1.15,1.24,sims 4 no mosaic,2020-10-20 16:00:45,,5300
42,rcn speedtest,us,22,2700,3.5,3248,1.2,1.54,rcn speed test,2020-10-20 06:06:19,,2700
43,nintendo switch nsp,us,20,2600,,3791,1.46,2.6,switch roms,2020-10-20 07:06:59,"Sitelinks,Image pack",3900
44,horn of valhalla,us,1,2600,0,2337,0.89,1.19,horn of valhalla 5e,2020-10-20 13:34:38,"Sitelinks,Image pack",2900
45,mhw handicraft charm,us,0,2600,,2992,1.14,1.17,handicraft charm 3,2020-10-18 23:15:50,"Sitelinks,Image pack",3600
46,kanagawa prefecture,us,16,2500,0,733,0.29,1.17,kanagawa,2020-10-19 12:43:45,"Sitelinks,Image pack,People also ask,Thumbnails",6700
47,corpse party 2,us,16,2500,0,2365,0.96,1.24,corpse party 2,2020-10-18 23:14:52,"Sitelinks,People also ask",4100
48,www.garmin.com/express download for windows,us,75,2500,,2715,1.08,1.14,garmin express,2020-10-19 22:14:34,"Sitelinks,People also ask",4000
49,the ascent quest,us,0,2500,,3042,1.24,1.13,destiny 2 mountaintop,2020-10-20 03:47:40,People also ask,2500
50,manly tears,us,0,2400,0.09,1155,0.48,1.28,manly tears,2020-10-20 02:18:40,"Sitelinks,Image pack,People also ask",4400
51,gypsy's revenge,us,4,2400,,2231,0.93,1.24,gypsy's revenge,2020-10-17 12:53:26,"Sitelinks,People also ask,Image pack",4900
52,civil case cover sheet,us,1,2300,0.9,2247,0.99,2.32,civil case cover sheet,2020-10-14 13:44:20,Image pack,2300
53,freecell solutions,us,24,2300,0.06,2555,1.11,3.98,freecell solutions,2020-10-14 16:51:04,"Sitelinks,Top stories,Thumbnails,Image pack",3000
54,brinstar,us,2,2300,0,1355,0.58,1.12,brinstar,2020-10-14 01:26:52,"Top stories,Thumbnails,Image pack",3200
55,the misadventures of tron bonne,us,5,2300,0.1,1144,0.49,1.15,tron bonne,2020-10-16 15:16:36,Sitelinks,3500
56,homes for sale geneva ohio,us,2,2300,0.2,,,,homes for sale geneva ohio,2020-10-16 13:27:27,Sitelinks,2300
57,shimmering flats,us,1,2200,0.9,1986,0.92,1.15,shimmering flats,2020-10-15 09:10:36,"Sitelinks,People also ask,Top stories,Thumbnails,Image pack",3900
